arm,step,tex_gen_hole,tex_anchor_hole,tex_yhat_hole,tex_gen_visible,good
A,1999,0.02701,0.00518,0.00892,0.06051,1
A,3999,0.03620,0.00518,0.00892,0.08316,1
A,5999,0.03179,0.00518,0.00892,0.06714,1
A,7999,0.06039,0.00528,0.01012,0.08846,1
A,9999,0.03220,0.00518,0.00892,0.06192,1
A,11999,0.05781,0.00528,0.01012,0.08591,1
A,13999,0.05686,0.00528,0.01012,0.06426,1
A,15999,0.03510,0.00518,0.00892,0.09549,1
A,17999,0.03202,0.00518,0.00892,0.08494,1
A,19999,0.03245,0.00164,0.00275,0.11160,0
A,21999,0.03024,0.00528,0.01012,0.05954,1
A,23999,0.02830,0.00518,0.00892,0.06135,1
A,25999,0.04425,0.00528,0.01012,0.07040,1
A,27999,0.03465,0.00518,0.00892,0.08774,1
A,29999,0.04430,0.00528,0.01012,0.05718,1
A,31999,0.03010,0.00164,0.00275,0.12034,0
A,33999,0.02838,0.00528,0.01012,0.03207,1
A,35999,0.03942,0.00528,0.01012,0.03914,1
A,37999,0.03525,0.00518,0.00892,0.10037,1
A,39999,0.02127,0.00164,0.00275,0.03809,0
A,41999,0.01635,0.00518,0.00892,0.03149,1
A,43999,0.02677,0.00164,0.00275,0.04189,0
A,45999,0.02958,0.00528,0.01012,0.04036,1
A,47999,0.03388,0.00164,0.00275,0.03415,0
A,49999,0.03036,0.00518,0.00892,0.11048,1
A,51999,0.01850,0.00164,0.00275,0.12036,0
A,53999,0.02983,0.00528,0.01012,0.04904,1
A,55999,0.01651,0.00164,0.00275,0.12584,0
A,57999,0.02126,0.00164,0.00275,0.02766,0
A,59999,0.02084,0.00164,0.00275,0.10896,0
A,61999,0.03778,0.00528,0.01012,0.03936,1
A,63999,0.01988,0.00164,0.00275,0.11421,0
A,65999,0.03365,0.00518,0.00892,0.10615,1
A,67999,0.02532,0.00518,0.00892,0.07930,1
A,69999,0.03777,0.00528,0.01012,0.07293,1
A,71999,0.04476,0.00528,0.01012,0.04592,1
A,73999,0.02662,0.00164,0.00275,0.07565,0
A,75999,0.03480,0.00528,0.01012,0.07030,1
A,77999,0.01659,0.00164,0.00275,0.13282,0
A,79999,0.01656,0.00164,0.00275,0.02534,0
A,81999,0.03305,0.00518,0.00892,0.10348,1
A,83999,0.02765,0.00518,0.00892,0.05833,1
A,85999,0.02261,0.00164,0.00275,0.10156,0
A,87999,0.01405,0.00164,0.00275,0.03024,0
A,89999,0.02982,0.00528,0.01012,0.04583,1
A,91999,0.01750,0.00164,0.00275,0.11422,0
A,93999,0.01307,0.00518,0.00892,0.02456,1
A,95999,0.02261,0.00164,0.00275,0.10970,0
A,97999,0.01923,0.00164,0.00275,0.11464,0
A,99999,0.02136,0.00164,0.00275,0.02535,0
A,101999,0.01645,0.00164,0.00275,0.02381,0
A,103999,0.02911,0.00518,0.00892,0.04770,1
A,105999,0.01688,0.00164,0.00275,0.09909,0
A,107999,0.01821,0.00528,0.01012,0.03091,1
A,109999,0.01588,0.00518,0.00892,0.02952,1
A,111999,0.01530,0.00164,0.00275,0.06619,0
A,113999,0.01662,0.00518,0.00892,0.02452,1
A,115999,0.00780,0.00164,0.00275,0.02120,0
A,117999,0.01307,0.00518,0.00892,0.02275,1
A,119999,0.02588,0.00528,0.01012,0.03626,1
A,121999,0.01920,0.00528,0.01012,0.02813,1
A,123999,0.02677,0.00528,0.01012,0.03715,1
A,125999,0.03145,0.00528,0.01012,0.07607,1
A,127999,0.01793,0.00528,0.01012,0.03175,1
A,129999,0.02650,0.00518,0.00892,0.08993,1
A,131999,0.01795,0.00518,0.00892,0.02533,1
A,133999,0.03247,0.00518,0.00892,0.10926,1
A,135999,0.01341,0.00518,0.00892,0.02243,1
A,137999,0.01318,0.00518,0.00892,0.01951,1
A,139999,0.01560,0.00164,0.00275,0.10302,0
A,141999,0.01537,0.00518,0.00892,0.02113,1
A,143999,0.03128,0.00528,0.01012,0.08013,1
A,145999,0.01231,0.00164,0.00275,0.02512,0
A,147999,0.03320,0.00528,0.01012,0.08477,1
A,149999,0.01715,0.00164,0.00275,0.02668,0
A,151999,0.01668,0.00518,0.00892,0.02360,1
A,153999,0.04787,0.00528,0.01012,0.07957,1
A,155999,0.01082,0.00164,0.00275,0.02708,0
A,157999,0.01652,0.00164,0.00275,0.10415,0
A,159999,0.02459,0.00528,0.01012,0.03520,1
A,161999,0.02596,0.00528,0.01012,0.03987,1
B,1999,0.02764,0.00518,0.00892,0.06060,1
B,3999,0.05075,0.00518,0.00892,0.10167,1
B,5999,0.04707,0.00518,0.00892,0.09605,1
B,7999,0.08604,0.00528,0.01012,0.06311,0
B,9999,0.05530,0.00518,0.00892,0.13475,1
B,11999,0.04997,0.00528,0.01012,0.08232,1
B,13999,0.04217,0.00528,0.01012,0.06445,1
B,15999,0.03140,0.00518,0.00892,0.08834,1
B,17999,0.03839,0.00518,0.00892,0.08635,1
B,19999,0.01906,0.00164,0.00275,0.11983,0
B,21999,0.04085,0.00528,0.01012,0.08102,1
B,23999,0.03597,0.00518,0.00892,0.07828,1
B,25999,0.04267,0.00528,0.01012,0.06813,1
B,27999,0.03293,0.00518,0.00892,0.09485,1
